term_en,term_zh,type,source,confidence,status,decided_at,notes
Chaima,柴玛,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法柴玛 vs 原chaima,按规则3采用 | 规则直译(普通词) 待G4审核"
Footnote,footnote,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Read,阅读,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法阅读 vs 原read,按规则4采用 | 规则直译(普通词) 待G4审核"
Medea,美狄亚,character,site-hit,0.7,pending,2026-08-11,音译(希腊神话通行译名) 待G4审核
Preservation,保存术,art,user,1.0,approved,2026-08-11,伟大之术定译(BoH 灰机 wiki+人工译者)
High,高,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法高,按规则4采用 | 规则直译(普通词) 待G4审核"
Show,出示,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法出示,按规则4采用 | 规则直译(普通词) 待G4审核"
Illumination,照明术,art,user,1.0,approved,2026-08-11,"伟大之术定译(BoH 灰机 wiki:照明术-Illumination),覆盖 cs-aligned 旧值光照"
Run,跑,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法跑,按规则4采用 | 规则直译(普通词) 待G4审核"
St Reparata,圣雷帕拉塔,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则3定译圣雷帕拉塔 | 规则未覆盖,待人工裁决"
Beyond,之外,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法之外,按规则4采用 | 规则直译(普通词) 待G4审核"
Pay,支付,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法支付,按规则4采用 | 规则直译(普通词) 待G4审核"
Cap,海角,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法海角 vs 原cap,按规则4采用(Cap d'Antibes 语境) | 规则直译(普通词) 待G4审核"
Remain,remain,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Interesting,有趣,other,self,1.0,approved,2026-08-12,普通词常规译法(2026-08-12)
London,伦敦,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|domicile.london
Stop,停下,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法停下,按规则4采用 | 规则直译(普通词) 待G4审核"
Chez Felix,费利克斯之家,place,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法费利克斯之家 vs 原菲利克斯家,按规则3采用(与批11/12 落盘一致) | 法语 chez=在…家/店(2026-08-12)待G4"
American,美国,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法美国 vs 原american,按规则4采用 | 规则直译(普通词) 待G4审核"
The Stars,群星,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则4定译群星 | 规则未覆盖,待人工裁决"
Wounds,创伤,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法创伤 vs 原wounds,按规则4采用 | 规则直译(普通词) 待G4审核"
So I,所以我,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法所以我,按规则4采用 | 规则未覆盖,待人工裁决"
Especially Spencer Hobson,,other,site-miss,0.3,pending,2026-08-11,"规则未覆盖,待人工裁决"
Great War,大战,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则4定译大战 | 规则未覆盖,待人工裁决"
Inventory,行囊,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法行囊 vs 原inventory,按规则4采用(批12 落盘(paratranz作库存)) | 规则直译(普通词) 待G4审核"
Though,虽然,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法虽然,按规则4采用 | 规则直译(普通词) 待G4审核"
Leaves,leaves,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Mr Strathcoyne,斯特拉斯科因先生,character,self,0.7,pending,2026-08-11,Strathcoyne→斯特拉斯科因(pending)+尊称先生
Bounds,边境,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法边境 vs 原bounds,按规则2采用(批9曾作边界之地) | 规则直译(普通词) 待G4审核"
Know,通晓者,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法通晓者 vs 原know,按规则2采用(CS 官方先例) | 规则直译(普通词) 待G4审核"
Authority,authority,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Bright Arts,光之技艺,art,user,1.0,approved,2026-08-12,用户定译 2026-08-12:与 Bright Art 单数一致(光之技艺)
Necessity,必需,other,self,1.0,approved,2026-08-12,普通词常规译法(2026-08-12)
Night Arts,夜之技艺,art,user,1.0,approved,2026-08-12,用户定译 2026-08-12:与 Night Art 单数一致(夜之技艺)
Rumour,流言,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法流言 vs 原rumour,按规则4采用(痕迹阶梯1-3 一致) | 规则直译(普通词) 待G4审核"
Surveillance,监视,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法监视 vs 原surveillance,按规则4采用 | 规则直译(普通词) 待G4审核"
Caen,卡昂,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法卡昂 vs 原caen,按规则3采用 | 规则直译(普通词) 待G4审核"
Prague,布拉格,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|domicile.prague
Venue,场地,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法场地 vs 原venue,按规则4采用(批11/12 落盘(paratranz作场所)) | 规则直译(普通词) 待G4审核"
Journal,日记,other,site,0.95,approved,2026-08-11,site bilingual label[1] (verified)
Put,放,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法放,按规则4采用 | 规则直译(普通词) 待G4审核"
Wardrobe,衣橱,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法衣橱 vs 原wardrobe,按规则4采用 | 规则直译(普通词) 待G4审核"
Two,二,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法二,按规则4采用 | 规则直译(普通词) 待G4审核"
The Pilgrim Rose,巡礼玫瑰,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法巡礼玫瑰 vs 原朝圣玫瑰,按规则2采用(与巡礼者呼应(原朝圣玫瑰)) | 音译(CS 风格意象直译) 待G4审核"
Wolf Divided,裂分之狼,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则2定译裂分之狼(CS 官方) | 规则未覆盖,待人工裁决"
Horned-Axe,双角斧,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则2定译双角斧(CS 官方(批9曾作角斧)) | 规则未覆盖,待人工裁决"
Skolekosophy,蠕虫学,art,user,1.0,approved,2026-08-11,伟大之术定译(BoH 灰机 wiki+人工译者)
Keep,保持,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法保持,按规则4采用 | 规则直译(普通词) 待G4审核"
Over,结束,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法结束,按规则4采用 | 规则直译(普通词) 待G4审核"
Unveil,揭露,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法揭露 vs 原unveil,按规则2采用(性相(批7曾作揭示)) | 规则直译(普通词) 待G4审核"
Lean,靠,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法靠,按规则4采用 | 规则直译(普通词) 待G4审核"
The State,邦国,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则4定译邦国(与 State approved 一致) | 规则未覆盖,待人工裁决"
Three,三,other,cs-aligned,1.0,approved,2026-08-11,cs:recipes|dreammeniscatevictory_withrisen
Enough,enough,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Perhaps I,也许我,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法也许我,按规则4采用 | 规则未覆盖,待人工裁决"
World,世界,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法世界,按规则4采用 | 规则直译(普通词) 待G4审核"
Milan,米兰,real-place,standard,1.0,approved,2026-08-11,"真实地名,通用中文译名(用户规则2026-08-11); 原pending占位milan已修正"
Goodbye,goodbye,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Silence,宁静,other,cs-aligned,1.0,approved,2026-08-11,cs-aligned label zh
Amiral,海军上将,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法海军上将 vs 原amiral,按规则4采用 | 规则直译(普通词) 待G4审核"
No-one,无人,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法无人,按规则4采用 | 规则未覆盖,待人工裁决"
Order,订单,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法订单,按规则4采用(秩序语境另译) | 规则直译(普通词) 待G4审核"
Say,说,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法说,按规则4采用 | 规则直译(普通词) 待G4审核"
None,无,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法无,按规则4采用 | 规则直译(普通词) 待G4审核"
Wound,受创,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|long_wound
Ambition,ambition,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Sorrow,sorrow,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Trace,痕迹,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|trace
Click,点击,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法点击 vs 原click,按规则4采用 | 规则直译(普通词) 待G4审核"
Christopher Illopoly,克里斯托弗·伊利奥波里,character,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法克里斯托弗·伊利奥波里 vs 原克里斯托弗·伊洛波利,按规则2采用(自造姓音译更贴) | 音译(自造姓Illopoly)"
Fresh,新鲜,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法新鲜,按规则4采用 | 规则直译(普通词) 待G4审核"
The Plague,瘟疫,concept,self,1.0,approved,2026-08-12,普通词常规译法(2026-08-12)
Eye,眼,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法眼,按规则4采用 | 规则直译(普通词) 待G4审核"
Huissier,韦西耶,character,self,0.7,approved,2026-08-12,用户裁决 2026-08-12:于西耶→韦西耶(paratranz人工译法)
Agonies,苦痛,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法苦痛 vs 原agonies,按规则4采用(痛苦阶梯高阶) | 规则直译(普通词) 待G4审核"
Mahaggony,马哈哥尼,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法马哈哥尼 vs 原mahaggony,按规则3采用 | 规则直译(普通词) 待G4审核"
Aspect,性相,concept,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法性相 vs 原aspect,按规则4采用(与 Aspects approved 一致) | 规则直译(普通词) 待G4审核"
Sign,印记,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法印记 vs 原sign,按规则4采用(与 Signs approved 一致) | 规则直译(普通词) 待G4审核"
Blackwood,布莱克伍德,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法布莱克伍德 vs 原blackwood,按规则3采用 | 规则直译(普通词) 待G4审核"
Thresholds,门关,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法门关 vs 原thresholds,按规则2采用 | 规则直译(普通词) 待G4审核"
Pharmakon,源解剂,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法源解剂 vs 原pharmakon,按规则2采用 | 规则直译(普通词) 待G4审核"
Midnight Mark,午夜污点,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则2定译午夜污点(三案裁决(午夜印记/午夜印迹/午夜污点)) | 规则未覆盖,待人工裁决"
Salt-Skein,盐纱,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则2定译盐纱(批9曾作盐线团) | 规则未覆盖,待人工裁决"
Threshold,门关,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法门关 vs 原threshold,按规则2采用(与 Seuil/Légion du Seuil 统一(批12曾作门槛)) | 规则直译(普通词) 待G4审核"
White,白色,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法白色,按规则4采用 | 规则直译(普通词) 待G4审核"
Seuil,门关,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法门关 vs 原seuil,按规则2采用 | 规则直译(普通词) 待G4审核"
Honneur,荣誉,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法荣誉 vs 原honneur,按规则4采用 | 规则直译(普通词) 待G4审核"
Humanité,人性,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则4定译人性 | 规则未覆盖,待人工裁决"
Summer Frivolity,轻浮夏日,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则4定译轻浮夏日 | 规则未覆盖,待人工裁决"
Quell,平息,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法平息 vs 原quell,按规则2采用(批8曾作镇伏) | 规则直译(普通词) 待G4审核"
Vagabond,浪游旅人,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法浪游旅人 vs 原vagabond,按规则2采用;用户裁决 2026-08-12:可简称旅人"
Flip,翻转,other,self,1.0,approved,2026-08-12,普通词常规译法(2026-08-12)
The Ministries,,other,site-hit,0.3,pending,2026-08-11,"规则未覆盖,待人工裁决"
Book,书,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法书,按规则4采用 | 规则直译(普通词) 待G4审核"
British,英国,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法英国 vs 原british,按规则4采用 | 规则直译(普通词) 待G4审核"
Pass,通过,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法通过,按规则4采用 | 规则直译(普通词) 待G4审核"
Poor,poor,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Hallow,圣化,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法圣化 vs 原hallow,按规则2采用(性相(批7曾作祝圣)) | 规则直译(普通词) 待G4审核"
Birdsong,鸟鸣学,art,user,1.0,approved,2026-08-12,伟大之术定译(BoH 灰机 wiki+人工译者均用鸟鸣学);用户 2026-08-12 确认采用鸟鸣学
Sniff,嗅,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法嗅,按规则4采用 | 规则直译(普通词) 待G4审核"
Librairie,书店,place,self,0.9,approved,2026-08-12,法语普通词 librairie=书店(2026-08-12)
Heures,时刻,other,self,0.9,approved,2026-08-12,法语 heures=时刻/钟点(2026-08-12)
German,德语,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法德语 vs 原german,按规则4采用 | 规则直译(普通词) 待G4审核"
Five,五,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法五,按规则4采用 | 规则直译(普通词) 待G4审核"
Excuse,excuse,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Place,之地,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法之地 vs 原place,按规则4采用(复合词素) | 规则直译(普通词) 待G4审核"
Four,四,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法四,按规则4采用 | 规则直译(普通词) 待G4审核"
Nantes,南特,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法南特 vs 原nantes,按规则3采用 | 规则直译(普通词) 待G4审核"
Riviera,里维埃拉,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法里维埃拉 vs 原riviera,按规则3采用(通用译名(paratranz误并作蔚蓝海岸)) | 规则直译(普通词) 待G4审核"
Yeah,是啊,other,self,1.0,approved,2026-08-12,普通词常规译法(2026-08-12)
François Isnard,弗朗索瓦·伊斯纳尔,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则3定译弗朗索瓦·伊斯纳尔(法语 r 收尾) | 规则未覆盖,待人工裁决"
Career,职业,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法职业 vs 原career,按规则4采用 | 规则直译(普通词) 待G4审核"
Bah,bah,other,site-miss,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Black,黑色,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法黑色,按规则4采用 | 规则直译(普通词) 待G4审核"
See,看见,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法看见,按规则4采用 | 规则直译(普通词) 待G4审核"
Crucian,十字会,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法十字会 vs 原crucian,按规则2采用(批8曾作十字派) | 规则直译(普通词) 待G4审核"
Bewitch,魅惑,concept,self,0.9,approved,2026-08-12,普通词常规译法(2026-08-12)
Midnight Joe,午夜乔,character,self,0.7,pending,2026-08-11,音译+意译(绰号)
Allies,盟军,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法盟军 vs 原allies,按规则3采用(二战同盟国通行(批8曾作盟友)) | 规则直译(普通词) 待G4审核"
Everything,一切,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法一切,按规则4采用 | 规则直译(普通词) 待G4审核"
Except,except,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Which,which,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Cracow,克拉科夫,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法克拉科夫 vs 原cracow,按规则3采用 | 规则直译(普通词) 待G4审核"
White Door,纯白之门,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则2定译纯白之门 | 规则未覆盖,待人工裁决"
Anger,愤怒,concept,self,1.0,approved,2026-08-12,普通词常规译法(2026-08-12)
Compassion,同情,concept,self,1.0,approved,2026-08-12,普通词常规译法(2026-08-12)
Curiosity,好奇,concept,self,1.0,approved,2026-08-12,普通词常规译法(2026-08-12)
Whimsy,奇想,concept,self,0.9,approved,2026-08-12,普通词常规译法(2026-08-12)
Craft,制作,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法制作 vs 原craft,按规则4采用 | 规则直译(普通词) 待G4审核"
Cornish,康沃尔,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法康沃尔 vs 原cornish,按规则4采用 | 规则直译(普通词) 待G4审核"
History,历史,other,site,0.95,approved,2026-08-11,site bilingual label[1] (verified)
Acheson Mission,艾奇逊使团,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则3定译艾奇逊使团(真实使团通行译名) | 规则未覆盖,待人工裁决"
Librarian,图书管理员,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法图书管理员 vs 原librarian,按规则4采用 | 规则直译(普通词) 待G4审核"
The Director,院长,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则4定译院长(今日疗养院院长语境) | 规则未覆盖,待人工裁决"
Epirus,伊庇鲁斯,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法伊庇鲁斯 vs 原epirus,按规则3采用 | 规则直译(普通词) 待G4审核"
Unworldly,非世俗,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法非世俗 vs 原unworldly,按规则4采用(批12曾作世俗之外的技艺) | 规则直译(普通词) 待G4审核"
Sharp,锋利,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法锋利 vs 原sharp,按规则4采用 | 规则直译(普通词) 待G4审核"
Herr,先生,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法先生 vs 原herr,按规则4采用 | 规则直译(普通词) 待G4审核"
Comrade,同志,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法同志 vs 原comrade,按规则4采用 | 规则直译(普通词) 待G4审核"
Witch-and-Sister,双生女巫,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则2定译双生女巫(cs-aligned 同) | 规则未覆盖,待人工裁决"
Dr A,A 医生,character,self,0.8,pending,2026-08-12,Task N2 修订+用户2026-08-12:头衔翻译按语境(匿名首字母化名)
Corso,科尔索,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法科尔索 vs 原corso,按规则3采用 | 规则直译(普通词) 待G4审核"
Chilly,发冷,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法发冷 vs 原chilly,按规则4采用(天气着装阶梯一致) | 规则直译(普通词) 待G4审核"
Despair,绝望,other,cs-aligned,1.0,approved,2026-08-11,cs-aligned label zh
Chrysophoria,迷金症,concept,user,1.0,approved,2026-08-12,"用户研究定译:-phoria=欣快状态词缀(euphoria欣快症),chrysos金→迷金症(与Fascination入迷呼应);废弃原拟金冠赛(古希腊庆典义,与游戏病症语境不符)"
Nagelsburg,nagelsburg,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Nowhere,虚界,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法虚界 vs 原nowhere,按规则2采用(批8曾作虚无) | 规则直译(普通词) 待G4审核"
Alias,alias,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Experience,经验,concept,cs-aligned,1.0,approved,2026-08-11,cs:elements|experience.exile.ally
Outfits,行头,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法行头 vs 原outfits,按规则4采用(与 Outfit=行头 一致) | 规则直译(普通词) 待G4审核"
Stanislav,斯坦尼斯拉夫,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法斯坦尼斯拉夫 vs 原stanislav,按规则3采用 | 规则直译(普通词) 待G4审核"
Fate,命运,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法命运,按规则4采用 | 规则直译(普通词) 待G4审核"
Chance,机会,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法机会,按规则4采用 | 规则直译(普通词) 待G4审核"
Germany,德国,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法德国 vs 原germany,按规则4采用 | 规则直译(普通词) 待G4审核"
Shadowed Places,阴影之地,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则2定译阴影之地 | 规则未覆盖,待人工裁决"
Package,包裹,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法包裹 vs 原package,按规则4采用 | 规则直译(普通词) 待G4审核"
Refreshments,茶点,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法茶点 vs 原refreshments,按规则4采用(批9/12 落盘(paratranz作小食)) | 规则直译(普通词) 待G4审核"
Used,used,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Wakeful Eye,警醒之眼,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则2定译警醒之眼(canon 一致(批7曾作不眠之眼)) | 规则未覆盖,待人工裁决"
Introduction,引见,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法引见 vs 原introduction,按规则4采用 | 规则直译(普通词) 待G4审核"
Shadowed Place,阴影之地,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则2定译阴影之地(批12同) | 规则未覆盖,待人工裁决"
Quiet Place,静默之地,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则2定译静默之地(与静默术呼应(批12曾作宁静之地)) | 规则未覆盖,待人工裁决"
Côte,海岸,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则4定译海岸 | 规则未覆盖,待人工裁决"
Azur,蔚蓝,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法蔚蓝 vs 原azur,按规则4采用 | 规则直译(普通词) 待G4审核"
Charm,charm,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
AltFade,altfade,other,site-miss,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Republican,共和派,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法共和派 vs 原republican,按规则4采用 | 规则直译(普通词) 待G4审核"
Everyone,大家,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法大家,按规则4采用 | 规则直译(普通词) 待G4审核"
Dark,黑暗,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法黑暗,按规则4采用 | 规则直译(普通词) 待G4审核"
Warm,温暖,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法温暖 vs 原warm,按规则4采用 | 规则直译(普通词) 待G4审核"
Spain,西班牙,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法西班牙 vs 原spain,按规则4采用 | 规则直译(普通词) 待G4审核"
Think,想,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法想,按规则4采用 | 规则直译(普通词) 待G4审核"
Fortunately,幸运的是,other,self,1.0,approved,2026-08-12,普通词常规译法(2026-08-12)
Buy,买,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法买,按规则4采用 | 规则直译(普通词) 待G4审核"
Sit,坐下,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法坐下,按规则4采用 | 规则直译(普通词) 待G4审核"
Hurry,hurry,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
First,首次,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法首次,按规则4采用 | 规则直译(普通词) 待G4审核"
Behind,后面,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法后面,按规则4采用 | 规则直译(普通词) 待G4审核"
Pierrots,皮埃罗,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法皮埃罗 vs 原pierrots,按规则3采用(艺术史通行译名(paratranz作皮耶罗)) | 规则直译(普通词) 待G4审核"
Welcome,welcome,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Different,不同,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法不同,按规则4采用 | 规则直译(普通词) 待G4审核"
Speech,言语,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法言语,按规则4采用 | 规则直译(普通词) 待G4审核"
Does,does,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Jean Dupont,让·杜邦,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则3定译让·杜邦 | 规则未覆盖,待人工裁决"
Make,做,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法做,按规则4采用 | 规则直译(普通词) 待G4审核"
Wink,眨眼,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法眨眼,按规则4采用 | 规则直译(普通词) 待G4审核"
Milicien,民兵,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法民兵 vs 原milicien,按规则4采用 | 规则直译(普通词) 待G4审核"
May,may,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
